Otu,phylum,subphylum,class,order,family,genus,species,trophic.mode,guild
Otu4348,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Massaria_conspurcata|SH237426.06FU,Pathotroph,Plant Pathogen
Otu4425,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Dothideomycetes_sp|SH232443.06FU,Pathotroph,Plant Pathogen
Otu4480,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu4481,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu4485,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Diplodia_allocellula|SH236108.06FU,Symbiotroph,Endophyte
Otu4494,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU,Pathotroph,Plant Pathogen
Otu4526,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Dothideomycetes_sp|SH232444.06FU,Pathotroph,Plant Pathogen
Otu4572,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Onygenales_sp|SH239736.06FU,Pathotroph,Plant Pathogen
Otu4618,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Exophiala_xenobiotica|SH210377.06FU,Pathotroph,Plant Pathogen
Otu4631,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Strelitziana_africana|SH211992.06FU,Pathotroph,Plant Pathogen
Otu4642,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu4683,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Pyronemataceae_sp|SH226418.06FU,Pathotroph,Plant Pathogen
Otu4780,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209749.06FU,NA,NA
Otu4835,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu4890,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu4959,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Pyronemataceae_sp|SH226418.06FU,Pathotroph,Plant Pathogen
Otu4966,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209754.06FU,NA,NA
Otu51,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Knufia_perforans|SH209750.06FU,Pathotroph,Plant Pathogen
Otu5213,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu5280,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu531,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu5421,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Mallochia_reticulata|SH217888.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu5431,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Knufia_perforans|SH209750.06FU,Pathotroph,Plant Pathogen
Otu5469,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu5661,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Exophiala_sp_CPC_12171|SH209743.06FU,NA,NA
Otu5796,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella,Botryobambusa_fusicoccum|SH236130.06FU,Symbiotroph,Endophyte
Otu5914,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Herpotrichiellaceae_sp|SH209738.06FU,NA,NA
Otu5948,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Auxarthron_kuehnii|SH217889.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu5964,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Naumovozyma_sp_QMW_2012|SH236489.06FU,Pathotroph,Plant Pathogen
Otu604,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Dothideomycetes_sp|SH190252.06FU,NA,NA
Otu6069,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Exophiala_sp_CPC_12171|SH209743.06FU,NA,NA
Otu615,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Dothideomycetes_sp|SH232444.06FU,Pathotroph,Plant Pathogen
Otu6170,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania,Myriangiales_sp|SH230159.06FU,Pathotroph,Plant Pathogen
Otu6332,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu6346,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH209756.06FU,NA,NA
Otu6457,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Ascomycota_sp|SH230809.06FU,Pathotroph,Plant Pathogen
Otu6500,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Naumovozyma_sp_QMW_2012|SH236489.06FU,Pathotroph,Plant Pathogen
Otu6804,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Chaetothyriales_sp|SH219442.06FU,NA,NA
Otu6949,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides,Knufia_perforans|SH209750.06FU,NA,NA
Otu7062,Ascomycota,Pezizomycotina,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata,Herpotrichiellaceae_sp|SH232693.06FU,Pathotroph,Plant Pathogen
