block,invasion,disturbance,vegetation.type,sample,Sequencing.name,plot,fungal.spec.richness,fungal.fisher.alpha,bacterial.spec.richness,bacterial.fisher.alpha,plant.shannon,plant.invsimpson,plant.spec.richness,Beta_umolgSOC.1h.1,Nag_umolgSOC.1h.1,Phos_umolgSOC.1h.1
3,Uninvaded,Disturbed,Woody patch,3DML.1,8085,3DML,181,43.61458553,3037,2135.983945,1.303052294,3.141357593,5,15919.11911,2745.257782,11489.61594
3,Uninvaded,Disturbed,Woody patch,3DML.2,8086,3DML,133,32.19897515,3058,1651.980645,1.303052294,3.141357593,5,5750.868218,1335.170353,6792.512112
3,Uninvaded,Disturbed,Woody patch,3DML.3,8087,3DML,254,69.38488961,403,1399.870682,1.303052294,3.141357593,5,13816.39245,2264.300781,38755.87904
3,Uninvaded,Disturbed,Woody patch,3DML.4,8088,3DML,134,34.75940815,3481,1887.45191,1.303052294,3.141357593,5,5525.627801,1238.912596,6254.374927
3,Uninvaded,Disturbed,Woody patch,3DML.5,8089,3DML,235,60.78505382,4078,3118.228547,1.303052294,3.141357593,5,22986.53258,4470.339024,40171.72404
3,Uninvaded,Undisturbed,Grassland,3UGL.1,8075,3UGL,222,58.64572834,1692,2196.356798,2.540033992,9.579077838,18,14670.14703,4940.062709,62908.16364
3,Uninvaded,Undisturbed,Grassland,3UGL.2,8076,3UGL,144,41.19459144,2838,2800.181181,2.540033992,9.579077838,18,23213.74344,12707.70886,50671.16481
3,Uninvaded,Undisturbed,Grassland,3UGL.3,8077,3UGL,185,49.70822015,2569,2667.111711,2.540033992,9.579077838,18,14184.39889,2884.369545,52353.12523
3,Uninvaded,Undisturbed,Grassland,3UGL.4,8078,3UGL,177,50.6087639,3696,2930.677496,2.540033992,9.579077838,18,10247.37872,2948.24517,27922.85587
3,Uninvaded,Undisturbed,Grassland,3UGL.5,8079,3UGL,143,39.63987705,3579,2689.965916,2.540033992,9.579077838,18,39986.10473,6870.29527,99455.22117
3,Uninvaded,Undisturbed,Woody patch,3UML.1,8065,3UML,148,34.15107422,3473,2491.493213,1.453264009,2.685983443,12,12287.45191,3878.256476,31750.35807
3,Uninvaded,Undisturbed,Woody patch,3UML.2,8066,3UML,171,43.48170395,1266,1141.492502,1.453264009,2.685983443,12,5635.516743,3126.89556,6326.826931
3,Uninvaded,Undisturbed,Woody patch,3UML.3,8067,3UML,133,31.2401594,2714,1384.655602,1.453264009,2.685983443,12,22884.79167,2904.820504,12739.07895
3,Uninvaded,Undisturbed,Woody patch,3UML.4,8068,3UML,236,62.18537231,3112,2308.551958,1.453264009,2.685983443,12,10932.30201,1978.695514,18096.83011
3,Uninvaded,Undisturbed,Woody patch,3UML.5,8069,3UML,219,54.94292671,3583,2717.459453,1.453264009,2.685983443,12,12682.58987,3105.731472,32408.71775
